https://dataunodc.un.org/, selected 2018
Value,Region,Subregion,Territory
6.6555611518,Asia,Southern Asia,Afghanistan
2.2894924438,Europe,Southern Europe,Albania
5.3244787387,Americas,South America,Argentina
1.693915557,Asia,Western Asia,Armenia
0.89163240342,Oceania,Australia and New Zealand,Australia
0.96722860774,Europe,Western Europe,Austria
2.2011074485,Asia,Western Asia,Azerbaijan
2.3733287962,Asia,Southern Asia,Bangladesh
9.7683505442,Americas,Caribbean,Barbados
2.3908727902,Europe,Eastern Europe,Belarus
1.193007386,Asia,Southern Asia,Bhutan
1.1733102602,Europe,Southern Europe,Bosnia and Herzegovina
27.382530291,Americas,South America,Brazil
1.3046665939,Europe,Eastern Europe,Bulgaria
6.8044225068,Africa,Western Africa,Cabo Verde
1.755921136,Americas,Northern America,Canada
4.4048944838,Americas,South America,Chile
0.52709078934,Asia,Eastern Asia,China
0.65113634144,Asia,Eastern Asia,China; Hong Kong Special Administrative Region
0.3166395676,Asia,Eastern Asia,China; Macao Special Administrative Region
25.343802597,Americas,South America,Colombia
11.261254504,Americas,Central America,Costa Rica
0.57742179724,Europe,Southern Europe,Croatia
1.2612864112,Asia,Western Asia,Cyprus
1.0083219593,Europe,Northern Europe,Denmark
10.04973395,Americas,Caribbean,Dominican Republic
5.8006273457,Americas,South America,Ecuador
52.018926167,Americas,Central America,El Salvador
2.1165412994,Europe,Northern Europe,Estonia
1.6296716121,Europe,Northern Europe,Finland
1.1986365025,Europe,Western Europe,France
2.2233624935,Asia,Western Asia,Georgia
0.9479766191,Europe,Western Europe,Germany
0.94086394499,Europe,Southern Europe,Greece
22.501348718,Americas,Central America,Guatemala
14.248909188,Americas,South America,Guyana
6.67974266,Americas,Caribbean,Haiti
38.925591104,Americas,Central America,Honduras
0.89096913683,Europe,Northern Europe,Iceland
3.0792324418,Asia,Southern Asia,India
0.8716054599,Europe,Northern Europe,Ireland
0.5690506607,Europe,Southern Europe,Italy
43.852281528,Americas,Caribbean,Jamaica
0.26257409562,Asia,Eastern Asia,Japan
4.9287280243,Africa,Eastern Africa,Kenya
2.3989300898,Europe,Southern Europe,Kosovo under UNSCR 1244
2.1890776131,Asia,Central Asia,Kyrgyzstan
4.3558049657,Europe,Northern Europe,Latvia
2.4929265033,Asia,Western Asia,Lebanon
2.6372698982,Europe,Western Europe,Liechtenstein
4.5693560421,Europe,Northern Europe,Lithuania
1.5936073579,Europe,Southern Europe,Malta
2.9198600992,Africa,Eastern Africa,Mauritius
29.071061625,Americas,Central America,Mexico
6.1825479289,Asia,Eastern Asia,Mongolia
2.2299989009,Europe,Southern Europe,Montenegro
1.4155228849,Africa,Northern Africa,Morocco
0.58618158968,Europe,Western Europe,Netherlands
0.46834371183,Europe,Northern Europe,Norway
0.26918034172,Asia,Western Asia,Oman
3.8830827302,Asia,Southern Asia,Pakistan
11.166322372,Oceania,Micronesia,Palau
9.3850224618,Americas,Central America,Panama
7.1448399951,Americas,South America,Paraguay
6.4649881651,Asia,South-Eastern Asia,Philippines
0.73045470014,Europe,Eastern Europe,Poland
0.78976680624,Europe,Southern Europe,Portugal
21.088314968,Americas,Caribbean,Puerto Rico
0.60384939332,Asia,Eastern Asia,Republic of Korea
4.0967929022,Europe,Eastern Europe,Republic of Moldova
1.2002168072,Europe,Southern Europe,Republic of North Macedonia
1.2816496985,Europe,Eastern Europe,Romania
8.209475626,Europe,Eastern Europe,Russian Federation
21.441530595,Americas,Caribbean,Saint Lucia
1.2268905787,Europe,Southern Europe,Serbia
0.15631776484,Asia,South-Eastern Asia,Singapore
1.1369852689,Europe,Eastern Europe,Slovakia
0.48126993661,Europe,Southern Europe,Slovenia
36.399174149,Africa,Southern Africa,South Africa
0.62107992821,Europe,Southern Europe,Spain
2.4212436336,Asia,Southern Asia,Sri Lanka
0.49352474965,Asia,Western Asia,State of Palestine
1.0830726772,Europe,Northern Europe,Sweden
0.58646802447,Europe,Western Europe,Switzerland
0.87931221497,Asia,Western Asia,Syrian Arab Republic
2.5904756723,Asia,Western Asia,Turkey
10.524460278,Africa,Eastern Africa,Uganda
1.2202287108,Europe,Northern Europe,United Kingdom (Northern Ireland)
1.1163425629,Europe,Northern Europe,United Kingdom (Scotland)
1.2049147774,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland
4.9569505476,Americas,Northern America,United States of America
12.060453021,Americas,South America,Uruguay
36.687634837,Americas,South America,Venezuela (Bolivarian Republic of)
